"season","team","abbreviation","playoffs","w","l","mov","o_rtg","d_rtg","n_rtg","pace","f_tr","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","opp_drb_percent","opp_ft_fga","championship","conference"
"2013                                              ",Atlanta Hawks                                     ,ATL       ,TRUE,44.00000,38.00000,0.40000,104.80000,104.40000,0.40000,92.60000,0.24400,0.54600,0.51700,14.20000,22.20000,0.17400,0.49600,14.20000,73.60000,0.18100,FALSE,EAST
"2013                                              ",Oklahoma City Thunder                             ,OKC       ,TRUE,60.00000,22.00000,9.21000,112.40000,102.60000,9.80000,93.30000,0.33800,0.58000,0.52700,14.40000,26.70000,0.28000,0.46900,13.50000,73.40000,0.19700,FALSE,WEST
"2012                                              ",Los Angeles Lakers                                ,LAL       ,TRUE,41.00000,25.00000,1.42000,106.00000,104.40000,1.60000,90.50000,0.29900,0.53400,0.49100,14.20000,29.10000,0.22600,0.47600,10.70000,74.80000,0.15800,FALSE,WEST
"2012                                              ",Memphis Grizzlies                                 ,MEM       ,TRUE,41.00000,25.00000,2.02000,104.00000,101.80000,2.20000,90.80000,0.27700,0.51500,0.47300,13.60000,29.80000,0.21100,0.48500,16.30000,72.70000,0.22700,FALSE,WEST
"2012                                              ",Miami Heat                                        ,MIA       ,TRUE,46.00000,20.00000,5.98000,106.60000,100.20000,6.40000,91.20000,0.30700,0.54900,0.50500,14.50000,26.60000,0.23800,0.47900,15.80000,73.90000,0.20000,TRUE,EAST
"2012                                              ",Milwaukee Bucks                                   ,MIL       ,FALSE,31.00000,35.00000,0.27000,105.50000,105.20000,0.30000,93.70000,0.25000,0.52100,0.48100,12.90000,27.70000,0.19400,0.48900,14.60000,70.90000,0.21700,FALSE,EAST
"2011                                              ",Cleveland Cavaliers                               ,CLE       ,FALSE,19.00000,63.00000,-9.01000,102.20000,111.80000,-9.60000,93.00000,0.31200,0.51800,0.47200,13.40000,24.20000,0.23300,0.52400,12.70000,73.30000,0.21100,FALSE,EAST
"2011                                              ",Dallas Mavericks                                  ,DAL       ,TRUE,57.00000,25.00000,4.23000,109.70000,105.00000,4.70000,91.30000,0.28600,0.56500,0.52500,13.60000,24.10000,0.22200,0.48800,13.00000,74.80000,0.20600,TRUE,WEST
"2011                                              ",Toronto Raptors                                   ,TOR       ,FALSE,22.00000,60.00000,-6.28000,106.10000,112.90000,-6.80000,92.90000,0.29300,0.53300,0.49100,13.70000,28.20000,0.22100,0.52200,13.00000,72.00000,0.25100,FALSE,EAST
"2011                                              ",Utah Jazz                                         ,UTA       ,FALSE,39.00000,43.00000,-1.83000,108.10000,110.10000,-2.00000,91.00000,0.31300,0.54400,0.49800,13.50000,27.00000,0.24100,0.50500,13.80000,71.70000,0.27500,FALSE,WEST
