"season","conference","team","w","l"
"2013                                              ",EAST,Atlanta Hawks                                     ,44.00000,38.00000
"2013                                              ",EAST,Detroit Pistons                                   ,29.00000,53.00000
"2013                                              ",EAST,Toronto Raptors                                   ,34.00000,48.00000
"2013                                              ",EAST,Charlotte Hornets                                 ,21.00000,61.00000
"2013                                              ",EAST,Milwaukee Bucks                                   ,38.00000,44.00000
"2013                                              ",WEST,Utah Jazz                                         ,43.00000,39.00000
"2013                                              ",WEST,Golden State Warriors                             ,47.00000,35.00000
"2013                                              ",WEST,Los Angeles Clippers                              ,56.00000,26.00000
"2013                                              ",WEST,Oklahoma City Thunder                             ,60.00000,22.00000
"2013                                              ",WEST,Los Angeles Lakers                                ,45.00000,37.00000
"2013                                              ",WEST,Denver Nuggets                                    ,57.00000,25.00000
"2013                                              ",WEST,Memphis Grizzlies                                 ,56.00000,26.00000
"2013                                              ",WEST,Sacramento Kings                                  ,28.00000,54.00000
"2013                                              ",WEST,Houston Rockets                                   ,45.00000,37.00000
"2013                                              ",WEST,Phoenix Suns                                      ,25.00000,57.00000
"2013                                              ",WEST,Minnesota Timberwolves                            ,31.00000,51.00000
"2013                                              ",WEST,Dallas Mavericks                                  ,41.00000,41.00000
"2013                                              ",WEST,San Antonio Spurs                                 ,58.00000,24.00000
"2013                                              ",WEST,Portland Trail Blazers                            ,33.00000,49.00000
"2013                                              ",WEST,New Orleans Pelicans                              ,27.00000,55.00000
"2014                                              ",EAST,Cleveland Cavaliers                               ,33.00000,49.00000
"2014                                              ",EAST,Chicago Bulls                                     ,48.00000,34.00000
"2014                                              ",EAST,Philadelphia 76ers                                ,19.00000,63.00000
"2014                                              ",EAST,New York Knicks                                   ,37.00000,45.00000
"2014                                              ",EAST,Boston Celtics                                    ,25.00000,57.00000
"2014                                              ",EAST,Toronto Raptors                                   ,48.00000,34.00000
"2014                                              ",EAST,Brooklyn Nets                                     ,44.00000,38.00000
"2014                                              ",EAST,Detroit Pistons                                   ,29.00000,53.00000
"2014                                              ",EAST,Miami Heat                                        ,54.00000,28.00000
"2014                                              ",EAST,Washington Wizards                                ,44.00000,38.00000
"2014                                              ",EAST,Milwaukee Bucks                                   ,15.00000,67.00000
"2014                                              ",EAST,Orlando Magic                                     ,23.00000,59.00000
"2014                                              ",EAST,Indiana Pacers                                    ,56.00000,26.00000
"2014                                              ",EAST,Atlanta Hawks                                     ,38.00000,44.00000
"2014                                              ",EAST,Charlotte Hornets                                 ,43.00000,39.00000
"2014                                              ",WEST,Oklahoma City Thunder                             ,59.00000,23.00000
"2014                                              ",WEST,Portland Trail Blazers                            ,54.00000,28.00000
"2014                                              ",WEST,Utah Jazz                                         ,25.00000,57.00000
"2014                                              ",WEST,Phoenix Suns                                      ,48.00000,34.00000
"2014                                              ",WEST,Minnesota Timberwolves                            ,40.00000,42.00000
"2014                                              ",WEST,Dallas Mavericks                                  ,49.00000,33.00000
"2014                                              ",WEST,Golden State Warriors                             ,51.00000,31.00000
"2014                                              ",WEST,Memphis Grizzlies                                 ,50.00000,32.00000
"2014                                              ",WEST,Los Angeles Lakers                                ,27.00000,55.00000
"2014                                              ",WEST,San Antonio Spurs                                 ,62.00000,20.00000
"2014                                              ",WEST,Denver Nuggets                                    ,36.00000,46.00000
"2014                                              ",WEST,Houston Rockets                                   ,54.00000,28.00000
"2014                                              ",WEST,New Orleans Pelicans                              ,34.00000,48.00000
"2014                                              ",WEST,Los Angeles Clippers                              ,57.00000,25.00000
"2014                                              ",WEST,Sacramento Kings                                  ,28.00000,54.00000
"2015                                              ",EAST,Chicago Bulls                                     ,50.00000,32.00000
"2015                                              ",EAST,New York Knicks                                   ,17.00000,65.00000
"2015                                              ",EAST,Brooklyn Nets                                     ,38.00000,44.00000
"2015                                              ",EAST,Miami Heat                                        ,37.00000,45.00000
"2015                                              ",EAST,Toronto Raptors                                   ,49.00000,33.00000
"2015                                              ",EAST,Boston Celtics                                    ,40.00000,42.00000
"2015                                              ",EAST,Orlando Magic                                     ,25.00000,57.00000
"2015                                              ",EAST,Washington Wizards                                ,46.00000,36.00000
"2015                                              ",EAST,Charlotte Hornets                                 ,33.00000,49.00000
"2015                                              ",EAST,Philadelphia 76ers                                ,18.00000,64.00000
"2015                                              ",EAST,Indiana Pacers                                    ,38.00000,44.00000
"2015                                              ",EAST,Cleveland Cavaliers                               ,53.00000,29.00000
"2015                                              ",EAST,Atlanta Hawks                                     ,60.00000,22.00000
"2015                                              ",EAST,Detroit Pistons                                   ,32.00000,50.00000
"2015                                              ",EAST,Milwaukee Bucks                                   ,41.00000,41.00000
"2015                                              ",WEST,San Antonio Spurs                                 ,55.00000,27.00000
"2015                                              ",WEST,Oklahoma City Thunder                             ,45.00000,37.00000
"2015                                              ",WEST,Los Angeles Clippers                              ,56.00000,26.00000
"2015                                              ",WEST,Houston Rockets                                   ,56.00000,26.00000
"2015                                              ",WEST,Los Angeles Lakers                                ,21.00000,61.00000
"2015                                              ",WEST,New Orleans Pelicans                              ,45.00000,37.00000
"2015                                              ",WEST,Portland Trail Blazers                            ,51.00000,31.00000
"2015                                              ",WEST,Dallas Mavericks                                  ,50.00000,32.00000
"2015                                              ",WEST,Sacramento Kings                                  ,29.00000,53.00000
"2015                                              ",WEST,Memphis Grizzlies                                 ,55.00000,27.00000
"2015                                              ",WEST,Phoenix Suns                                      ,39.00000,43.00000
"2015                                              ",WEST,Utah Jazz                                         ,38.00000,44.00000
"2015                                              ",WEST,Golden State Warriors                             ,67.00000,15.00000
"2015                                              ",WEST,Denver Nuggets                                    ,30.00000,52.00000
"2015                                              ",WEST,Minnesota Timberwolves                            ,16.00000,66.00000
"2016                                              ",EAST,Atlanta Hawks                                     ,48.00000,34.00000
"2016                                              ",EAST,Washington Wizards                                ,41.00000,41.00000
"2016                                              ",EAST,Toronto Raptors                                   ,56.00000,26.00000
"2016                                              ",EAST,Milwaukee Bucks                                   ,33.00000,49.00000
"2016                                              ",EAST,Cleveland Cavaliers                               ,57.00000,25.00000
"2016                                              ",EAST,Boston Celtics                                    ,48.00000,34.00000
"2016                                              ",EAST,Miami Heat                                        ,48.00000,34.00000
"2016                                              ",EAST,Orlando Magic                                     ,35.00000,47.00000
"2016                                              ",EAST,New York Knicks                                   ,32.00000,50.00000
"2016                                              ",EAST,Detroit Pistons                                   ,44.00000,38.00000
"2016                                              ",EAST,Indiana Pacers                                    ,45.00000,37.00000
"2016                                              ",EAST,Philadelphia 76ers                                ,10.00000,72.00000
"2016                                              ",EAST,Brooklyn Nets                                     ,21.00000,61.00000
"2016                                              ",EAST,Charlotte Hornets                                 ,48.00000,34.00000
"2016                                              ",EAST,Chicago Bulls                                     ,42.00000,40.00000
"2016                                              ",WEST,Golden State Warriors                             ,73.00000,9.00000
"2016                                              ",WEST,Dallas Mavericks                                  ,42.00000,40.00000
"2016                                              ",WEST,Los Angeles Clippers                              ,53.00000,29.00000
"2016                                              ",WEST,Memphis Grizzlies                                 ,42.00000,40.00000
"2016                                              ",WEST,Houston Rockets                                   ,41.00000,41.00000
"2016                                              ",WEST,Los Angeles Lakers                                ,17.00000,65.00000
"2016                                              ",WEST,Phoenix Suns                                      ,23.00000,59.00000
"2016                                              ",WEST,New Orleans Pelicans                              ,30.00000,52.00000
"2016                                              ",WEST,Oklahoma City Thunder                             ,55.00000,27.00000
"2016                                              ",WEST,San Antonio Spurs                                 ,67.00000,15.00000
"2016                                              ",WEST,Sacramento Kings                                  ,33.00000,49.00000
"2016                                              ",WEST,Minnesota Timberwolves                            ,29.00000,53.00000
"2016                                              ",WEST,Denver Nuggets                                    ,33.00000,49.00000
"2016                                              ",WEST,Utah Jazz                                         ,40.00000,42.00000
"2016                                              ",WEST,Portland Trail Blazers                            ,44.00000,38.00000
"2017                                              ",EAST,Charlotte Hornets                                 ,36.00000,46.00000
"2017                                              ",EAST,Washington Wizards                                ,49.00000,33.00000
"2017                                              ",EAST,Brooklyn Nets                                     ,20.00000,62.00000
"2017                                              ",EAST,Orlando Magic                                     ,29.00000,53.00000
"2017                                              ",EAST,Cleveland Cavaliers                               ,51.00000,31.00000
"2017                                              ",EAST,Milwaukee Bucks                                   ,42.00000,40.00000
"2017                                              ",EAST,Philadelphia 76ers                                ,28.00000,54.00000
"2017                                              ",EAST,New York Knicks                                   ,31.00000,51.00000
"2017                                              ",EAST,Atlanta Hawks                                     ,43.00000,39.00000
"2017                                              ",EAST,Detroit Pistons                                   ,37.00000,45.00000
"2017                                              ",EAST,Toronto Raptors                                   ,51.00000,31.00000
"2017                                              ",EAST,Chicago Bulls                                     ,41.00000,41.00000
"2017                                              ",EAST,Miami Heat                                        ,41.00000,41.00000
"2017                                              ",EAST,Indiana Pacers                                    ,42.00000,40.00000
"2017                                              ",EAST,Boston Celtics                                    ,53.00000,29.00000
"2017                                              ",WEST,Golden State Warriors                             ,67.00000,15.00000
"2017                                              ",WEST,New Orleans Pelicans                              ,34.00000,48.00000
"2017                                              ",WEST,Los Angeles Clippers                              ,51.00000,31.00000
"2017                                              ",WEST,Oklahoma City Thunder                             ,47.00000,35.00000
"2017                                              ",WEST,San Antonio Spurs                                 ,61.00000,21.00000
"2017                                              ",WEST,Utah Jazz                                         ,51.00000,31.00000
"2017                                              ",WEST,Los Angeles Lakers                                ,26.00000,56.00000
"2017                                              ",WEST,Dallas Mavericks                                  ,33.00000,49.00000
"2017                                              ",WEST,Phoenix Suns                                      ,24.00000,58.00000
"2017                                              ",WEST,Portland Trail Blazers                            ,41.00000,41.00000
"2017                                              ",WEST,Memphis Grizzlies                                 ,43.00000,39.00000
"2017                                              ",WEST,Minnesota Timberwolves                            ,31.00000,51.00000
"2017                                              ",WEST,Houston Rockets                                   ,55.00000,27.00000
"2017                                              ",WEST,Denver Nuggets                                    ,40.00000,42.00000
"2017                                              ",WEST,Sacramento Kings                                  ,32.00000,50.00000
"2018                                              ",EAST,Philadelphia 76ers                                ,52.00000,30.00000
"2018                                              ",EAST,Brooklyn Nets                                     ,28.00000,54.00000
"2018                                              ",EAST,Milwaukee Bucks                                   ,44.00000,38.00000
"2018                                              ",EAST,Chicago Bulls                                     ,27.00000,55.00000
"2018                                              ",EAST,Washington Wizards                                ,43.00000,39.00000
"2018                                              ",EAST,Charlotte Hornets                                 ,36.00000,46.00000
"2018                                              ",EAST,Toronto Raptors                                   ,59.00000,23.00000
"2018                                              ",EAST,Indiana Pacers                                    ,48.00000,34.00000
"2018                                              ",EAST,Atlanta Hawks                                     ,24.00000,58.00000
"2018                                              ",EAST,Cleveland Cavaliers                               ,50.00000,32.00000
"2018                                              ",EAST,Detroit Pistons                                   ,39.00000,43.00000
"2018                                              ",EAST,Boston Celtics                                    ,55.00000,27.00000
"2018                                              ",EAST,Orlando Magic                                     ,25.00000,57.00000
"2018                                              ",EAST,Miami Heat                                        ,44.00000,38.00000
"2018                                              ",EAST,New York Knicks                                   ,29.00000,53.00000
"2018                                              ",WEST,Los Angeles Lakers                                ,35.00000,47.00000
"2018                                              ",WEST,Oklahoma City Thunder                             ,48.00000,34.00000
"2018                                              ",WEST,Minnesota Timberwolves                            ,47.00000,35.00000
"2018                                              ",WEST,Utah Jazz                                         ,48.00000,34.00000
"2018                                              ",WEST,Memphis Grizzlies                                 ,22.00000,60.00000
"2018                                              ",WEST,Phoenix Suns                                      ,21.00000,61.00000
"2018                                              ",WEST,Dallas Mavericks                                  ,24.00000,58.00000
"2018                                              ",WEST,New Orleans Pelicans                              ,48.00000,34.00000
"2018                                              ",WEST,Houston Rockets                                   ,65.00000,17.00000
"2018                                              ",WEST,Denver Nuggets                                    ,46.00000,36.00000
"2018                                              ",WEST,Sacramento Kings                                  ,27.00000,55.00000
"2018                                              ",WEST,Los Angeles Clippers                              ,42.00000,40.00000
"2018                                              ",WEST,Golden State Warriors                             ,58.00000,24.00000
"2018                                              ",WEST,San Antonio Spurs                                 ,47.00000,35.00000
"2018                                              ",WEST,Portland Trail Blazers                            ,49.00000,33.00000
"2019                                              ",EAST,Detroit Pistons                                   ,41.00000,41.00000
"2019                                              ",EAST,Washington Wizards                                ,32.00000,50.00000
"2019                                              ",EAST,Indiana Pacers                                    ,48.00000,34.00000
"2019                                              ",EAST,Atlanta Hawks                                     ,29.00000,53.00000
"2019                                              ",EAST,Orlando Magic                                     ,42.00000,40.00000
"2019                                              ",EAST,Toronto Raptors                                   ,58.00000,24.00000
"2019                                              ",EAST,Cleveland Cavaliers                               ,19.00000,63.00000
"2019                                              ",EAST,Brooklyn Nets                                     ,42.00000,40.00000
"2019                                              ",EAST,Milwaukee Bucks                                   ,60.00000,22.00000
"2019                                              ",EAST,Charlotte Hornets                                 ,39.00000,43.00000
"2019                                              ",EAST,Chicago Bulls                                     ,22.00000,60.00000
"2019                                              ",EAST,Miami Heat                                        ,39.00000,43.00000
"2019                                              ",EAST,New York Knicks                                   ,17.00000,65.00000
"2019                                              ",EAST,Boston Celtics                                    ,49.00000,33.00000
"2019                                              ",EAST,Philadelphia 76ers                                ,51.00000,31.00000
"2019                                              ",WEST,Phoenix Suns                                      ,19.00000,63.00000
"2019                                              ",WEST,Golden State Warriors                             ,57.00000,25.00000
"2019                                              ",WEST,Dallas Mavericks                                  ,33.00000,49.00000
"2019                                              ",WEST,Houston Rockets                                   ,53.00000,29.00000
"2019                                              ",WEST,Los Angeles Clippers                              ,48.00000,34.00000
"2019                                              ",WEST,Memphis Grizzlies                                 ,33.00000,49.00000
"2019                                              ",WEST,San Antonio Spurs                                 ,48.00000,34.00000
"2019                                              ",WEST,New Orleans Pelicans                              ,33.00000,49.00000
"2019                                              ",WEST,Minnesota Timberwolves                            ,36.00000,46.00000
"2019                                              ",WEST,Utah Jazz                                         ,50.00000,32.00000
"2019                                              ",WEST,Sacramento Kings                                  ,39.00000,43.00000
"2019                                              ",WEST,Los Angeles Lakers                                ,37.00000,45.00000
"2019                                              ",WEST,Portland Trail Blazers                            ,53.00000,29.00000
"2019                                              ",WEST,Denver Nuggets                                    ,54.00000,28.00000
"2019                                              ",WEST,Oklahoma City Thunder                             ,49.00000,33.00000
"2020                                              ",EAST,Toronto Raptors                                   ,53.00000,19.00000
"2020                                              ",EAST,Brooklyn Nets                                     ,35.00000,37.00000
"2020                                              ",EAST,Milwaukee Bucks                                   ,56.00000,17.00000
"2020                                              ",EAST,Miami Heat                                        ,44.00000,29.00000
"2020                                              ",EAST,Atlanta Hawks                                     ,20.00000,47.00000
"2020                                              ",EAST,Boston Celtics                                    ,48.00000,24.00000
"2020                                              ",EAST,Philadelphia 76ers                                ,43.00000,30.00000
"2020                                              ",EAST,Cleveland Cavaliers                               ,19.00000,46.00000
"2020                                              ",EAST,Detroit Pistons                                   ,20.00000,46.00000
"2020                                              ",EAST,Chicago Bulls                                     ,22.00000,43.00000
"2020                                              ",EAST,Charlotte Hornets                                 ,23.00000,42.00000
"2020                                              ",EAST,Washington Wizards                                ,25.00000,47.00000
"2020                                              ",EAST,New York Knicks                                   ,21.00000,45.00000
"2020                                              ",EAST,Orlando Magic                                     ,33.00000,40.00000
"2020                                              ",EAST,Indiana Pacers                                    ,45.00000,28.00000
"2020                                              ",WEST,Memphis Grizzlies                                 ,34.00000,39.00000
"2020                                              ",WEST,Denver Nuggets                                    ,46.00000,27.00000
"2020                                              ",WEST,Utah Jazz                                         ,44.00000,28.00000
"2020                                              ",WEST,New Orleans Pelicans                              ,30.00000,42.00000
"2020                                              ",WEST,Dallas Mavericks                                  ,43.00000,32.00000
"2020                                              ",WEST,Minnesota Timberwolves                            ,19.00000,45.00000
"2020                                              ",WEST,Phoenix Suns                                      ,34.00000,39.00000
"2020                                              ",WEST,Sacramento Kings                                  ,31.00000,41.00000
"2020                                              ",WEST,Golden State Warriors                             ,15.00000,50.00000
"2020                                              ",WEST,Oklahoma City Thunder                             ,44.00000,28.00000
"2020                                              ",WEST,Los Angeles Lakers                                ,52.00000,19.00000
"2020                                              ",WEST,Los Angeles Clippers                              ,49.00000,23.00000
"2020                                              ",WEST,Houston Rockets                                   ,44.00000,28.00000
"2020                                              ",WEST,San Antonio Spurs                                 ,32.00000,39.00000
"2020                                              ",WEST,Portland Trail Blazers                            ,35.00000,39.00000
"2021                                              ",EAST,Boston Celtics                                    ,36.00000,36.00000
"2021                                              ",EAST,Milwaukee Bucks                                   ,46.00000,26.00000
"2021                                              ",EAST,Orlando Magic                                     ,21.00000,51.00000
"2021                                              ",EAST,New York Knicks                                   ,41.00000,31.00000
"2021                                              ",EAST,Brooklyn Nets                                     ,48.00000,24.00000
"2021                                              ",EAST,Toronto Raptors                                   ,27.00000,45.00000
"2021                                              ",EAST,Chicago Bulls                                     ,31.00000,41.00000
"2021                                              ",EAST,Detroit Pistons                                   ,20.00000,52.00000
"2021                                              ",EAST,Washington Wizards                                ,34.00000,38.00000
"2021                                              ",EAST,Charlotte Hornets                                 ,33.00000,39.00000
"2021                                              ",EAST,Miami Heat                                        ,40.00000,32.00000
"2021                                              ",EAST,Indiana Pacers                                    ,34.00000,38.00000
"2021                                              ",EAST,Atlanta Hawks                                     ,41.00000,31.00000
"2021                                              ",EAST,Philadelphia 76ers                                ,49.00000,23.00000
"2021                                              ",EAST,Cleveland Cavaliers                               ,22.00000,50.00000
"2021                                              ",WEST,Oklahoma City Thunder                             ,22.00000,50.00000
"2021                                              ",WEST,Golden State Warriors                             ,39.00000,33.00000
"2021                                              ",WEST,Denver Nuggets                                    ,47.00000,25.00000
"2021                                              ",WEST,Sacramento Kings                                  ,31.00000,41.00000
"2021                                              ",WEST,San Antonio Spurs                                 ,33.00000,39.00000
"2021                                              ",WEST,Portland Trail Blazers                            ,42.00000,30.00000
"2021                                              ",WEST,Dallas Mavericks                                  ,42.00000,30.00000
"2021                                              ",WEST,Houston Rockets                                   ,17.00000,55.00000
"2021                                              ",WEST,New Orleans Pelicans                              ,31.00000,41.00000
"2021                                              ",WEST,Memphis Grizzlies                                 ,38.00000,34.00000
"2021                                              ",WEST,Phoenix Suns                                      ,51.00000,21.00000
"2021                                              ",WEST,Minnesota Timberwolves                            ,23.00000,49.00000
"2021                                              ",WEST,Los Angeles Clippers                              ,47.00000,25.00000
"2021                                              ",WEST,Los Angeles Lakers                                ,42.00000,30.00000
"2021                                              ",WEST,Utah Jazz                                         ,52.00000,20.00000
"2022                                              ",EAST,Miami Heat                                        ,53.00000,29.00000
"2022                                              ",EAST,Detroit Pistons                                   ,23.00000,59.00000
"2022                                              ",EAST,Brooklyn Nets                                     ,44.00000,38.00000
"2022                                              ",EAST,Orlando Magic                                     ,22.00000,60.00000
"2022                                              ",EAST,Chicago Bulls                                     ,46.00000,36.00000
"2022                                              ",EAST,Charlotte Hornets                                 ,43.00000,39.00000
"2022                                              ",EAST,Boston Celtics                                    ,51.00000,31.00000
"2022                                              ",EAST,New York Knicks                                   ,37.00000,45.00000
"2022                                              ",EAST,Milwaukee Bucks                                   ,51.00000,31.00000
"2022                                              ",EAST,Indiana Pacers                                    ,25.00000,57.00000
"2022                                              ",EAST,Philadelphia 76ers                                ,51.00000,31.00000
"2022                                              ",EAST,Cleveland Cavaliers                               ,44.00000,38.00000
"2022                                              ",EAST,Washington Wizards                                ,35.00000,47.00000
"2022                                              ",EAST,Toronto Raptors                                   ,48.00000,34.00000
"2022                                              ",EAST,Atlanta Hawks                                     ,43.00000,39.00000
"2022                                              ",WEST,Oklahoma City Thunder                             ,24.00000,58.00000
"2022                                              ",WEST,Denver Nuggets                                    ,48.00000,34.00000
"2022                                              ",WEST,Houston Rockets                                   ,20.00000,62.00000
"2022                                              ",WEST,Los Angeles Lakers                                ,33.00000,49.00000
"2022                                              ",WEST,New Orleans Pelicans                              ,36.00000,46.00000
"2022                                              ",WEST,Utah Jazz                                         ,49.00000,33.00000
"2022                                              ",WEST,Golden State Warriors                             ,53.00000,29.00000
"2022                                              ",WEST,Sacramento Kings                                  ,30.00000,52.00000
"2022                                              ",WEST,Los Angeles Clippers                              ,42.00000,40.00000
"2022                                              ",WEST,San Antonio Spurs                                 ,34.00000,48.00000
"2022                                              ",WEST,Memphis Grizzlies                                 ,56.00000,26.00000
"2022                                              ",WEST,Phoenix Suns                                      ,64.00000,18.00000
"2022                                              ",WEST,Dallas Mavericks                                  ,52.00000,30.00000
"2022                                              ",WEST,Portland Trail Blazers                            ,27.00000,55.00000
"2022                                              ",WEST,Minnesota Timberwolves                            ,46.00000,36.00000
